SRR_ID	project_id	baseline_method	U_rho_gene	U_jaccard_deg	U_rho_path	U_jaccard_path	U_dir_concordance	A_rho_gene	A_jaccard_deg	A_rho_path	A_jaccard_path	A_dir_concordance	P5_rho_gene	P5_jaccard_deg	P5_rho_path	P5_jaccard_path	P5_dir_concordance	P10_rho_gene	P10_jaccard_deg	P10_rho_path	P10_jaccard_path	P10_dir_concordance	P20_rho_gene	P20_jaccard_deg	P20_rho_path	P20_jaccard_path	P20_dir_concordance	P35_rho_gene	P35_jaccard_deg	P35_rho_path	P35_jaccard_path	P35_dir_concordance
SRR26033674	PRJNA1014965	U	0.988458	0.463488	0.908764	0.958333	1.000000	0.988537	0.463488	0.935840	0.877551	1.000000	0.988563	0.463257	0.905018	0.958333	1.000000	0.988563	0.463388	0.877281	0.875000	1.000000	0.988574	0.464174	0.802930	0.895833	1.000000	0.987775	0.446095	0.904415	0.936170	1.000000
SRR26033664	PRJNA1014965	U	0.989272	0.441408	0.896229	0.770833	1.000000	0.989224	0.441532	0.910946	0.854167	1.000000	0.989221	0.441656	0.923864	0.833333	1.000000	0.989220	0.441594	0.893483	0.812500	1.000000	0.989228	0.441594	0.953396	0.893617	1.000000	0.988720	0.442353	0.964345	0.872340	1.000000
SRR26033688	PRJNA1014965	U	0.987087	0.464796	0.830422	0.854167	1.000000	0.987160	0.464346	0.923239	0.937500	1.000000	0.987209	0.464571	0.934022	0.958333	1.000000	0.987207	0.464541	0.899207	0.857143	1.000000	0.987211	0.464571	0.940623	0.937500	1.000000	0.986160	0.450189	0.878212	0.877551	1.000000
SRR26033672	PRJNA1014965	U	0.989149	0.443332	0.969915	0.891304	1.000000	0.989209	0.443429	0.726255	0.787234	1.000000	0.989203	0.443269	0.813545	0.808511	1.000000	0.989192	0.443269	0.901006	0.851064	1.000000	0.989357	0.447319	0.961777	0.893617	1.000000	0.849337	0.346648	0.535700	0.162791	1.000000
SRR26033679	PRJNA1014965	U	0.988471	0.438702	0.858982	0.854167	1.000000	0.988629	0.438798	0.928770	0.914894	1.000000	0.988640	0.438867	0.896204	0.877551	1.000000	0.988669	0.438737	0.907153	0.895833	1.000000	0.988753	0.443359	0.773808	0.812500	1.000000	0.853550	0.348552	0.619029	0.148936	1.000000
SRR26033673	PRJNA1014965	U	0.989166	0.452233	0.947083	0.916667	1.000000	0.989189	0.452239	0.819981	0.854167	1.000000	0.989173	0.452302	0.955897	0.816327	1.000000	0.989175	0.452331	0.838400	0.833333	1.000000	0.989309	0.453196	0.835086	0.875000	1.000000	0.843121	0.334580	0.575781	0.187500	1.000000
SRR26033671	PRJNA1014965	U	0.988714	0.438095	0.869601	0.791667	1.000000	0.988789	0.438813	0.821168	0.734694	1.000000	0.988801	0.438752	0.877236	0.791667	1.000000	0.988799	0.438629	0.834890	0.804348	1.000000	0.988807	0.445209	0.868340	0.791667	1.000000	0.853661	0.348442	0.604803	0.275000	1.000000
SRR26033676	PRJNA1014965	U	0.984717	0.428769	0.842614	0.877551	1.000000	0.984724	0.428804	0.888105	0.918367	1.000000	0.984716	0.428718	0.878596	0.897959	1.000000	0.984720	0.428743	0.933637	0.959184	1.000000	0.984779	0.431495	0.773048	0.857143	1.000000	0.863415	0.346341	0.648286	0.183673	1.000000
SRR26033675	PRJNA1014965	U	0.988442	0.435514	0.926601	0.893617	1.000000	0.988335	0.435888	0.942459	0.869565	1.000000	0.988331	0.435861	0.887800	0.893617	1.000000	0.988331	0.435861	0.947358	0.851064	1.000000	0.988313	0.435801	0.845773	0.891304	1.000000	0.854888	0.348623	0.576045	0.209302	1.000000
SRR26033668	PRJNA1014965	U	0.988666	0.432319	0.911234	0.869565	1.000000	0.988917	0.432596	0.841233	0.829787	1.000000	0.988886	0.432588	0.918108	0.866667	1.000000	0.988886	0.432527	0.888969	0.808511	1.000000	0.988965	0.441442	0.791162	0.770833	1.000000	0.853724	0.350985	0.545438	0.214286	1.000000
