BioProject,Organism,Instrument_Model,Library_Layout,Total_Pipeline_SRRs,Compute_Successful_SRRs,Had_Large_FastQs_>30GB,Curated_Metadata_SRRs,Total_Classes,Classes_with_Replicates,Included_in_PyDESeq2,Eligible_PyDESeq2_SRRs,Reason_for_Exclusion
PRJNA1014106,Homo sapiens,"GridION, Illumina NovaSeq 6000","PAIRED, SINGLE",8,5,Yes,4,1,1,No,0,Only 1 class exists (DESeq2 requires >= 2 to compare)
PRJNA316201,Homo sapiens,"Illumina HiSeq 3000, Illumina HiSeq 4000, NextSeq 500","PAIRED, SINGLE",26,26,No,8,1,1,No,0,Only 1 class exists (DESeq2 requires >= 2 to compare)
PRJNA378952,Homo sapiens,"HiSeq X Ten, Illumina Genome Analyzer II, Illumina HiSeq 2000, Illumina HiSeq 2500","PAIRED, SINGLE",14,13,No,4,2,1,No,0,"Has 2 classes, but only 1 have replicates"
PRJNA381115,Homo sapiens,Illumina HiSeq 2500,PAIRED,18,18,No,18,18,0,No,0,"Has 18 classes, but only 0 have replicates"
PRJNA480287,Homo sapiens,"Illumina HiSeq 2500, NextSeq 500","PAIRED, SINGLE",48,47,Yes,1,1,0,No,0,"Only 1 class exists, and it has no replicates"
PRJNA996357,Homo sapiens,Illumina NovaSeq 6000,PAIRED,11,11,No,11,11,0,No,0,"Has 11 classes, but only 0 have replicates"
PRJNA1014965,Homo sapiens,Illumina HiSeq 2500,PAIRED,40,40,No,37,2,2,Yes,37,
PRJNA1105191,Homo sapiens,Illumina HiSeq X,PAIRED,33,33,No,33,11,11,Yes,33,
PRJNA1120369,Homo sapiens,Illumina NovaSeq 6000,PAIRED,40,38,Yes,38,3,3,Yes,38,
PRJNA1127555,Homo sapiens,Illumina HiSeq 2000,PAIRED,12,12,No,12,3,3,Yes,12,
PRJNA1133701,Homo,Illumina NovaSeq 6000,PAIRED,36,36,No,36,12,12,Yes,36,
PRJNA1165739,Homo sapiens,NextSeq 2000,PAIRED,40,40,No,40,4,4,Yes,40,
PRJNA1175639,Homo sapiens,NextSeq 2000,PAIRED,16,16,No,16,4,4,Yes,16,
PRJNA1176539,metagenome,"HiSeq X Ten, Illumina NovaSeq 6000, NextSeq 1000, NextSeq 2000, NextSeq 500, NextSeq 550","PAIRED, SINGLE",36,31,Yes,37,13,7,Yes,31,
PRJNA1185243,Homo sapiens,"Illumina MiSeq, Illumina NovaSeq 6000",PAIRED,42,39,Yes,8,5,3,Yes,6,
PRJNA321028,Homo sapiens,NextSeq 500,PAIRED,16,16,No,16,3,3,Yes,16,
PRJNA321087,Homo sapiens,Illumina HiSeq 2500,PAIRED,42,42,No,19,4,4,Yes,19,
PRJNA321967,Homo sapiens,Illumina HiSeq 2500,PAIRED,12,12,No,12,4,4,Yes,12,
