SRR_ID	project_id	processing_status	condition
SRR26067911	PRJNA1014106	processed	ataxia_pbmc
SRR26067912	PRJNA1014106	processed	ataxia_pbmc
SRR26067913	PRJNA1014106	download_incomplete	
SRR26067914	PRJNA1014106	download_incomplete	
SRR26067915	PRJNA1014106	download_incomplete	
SRR26067916	PRJNA1014106	processed	
SRR26067917	PRJNA1014106	excluded_quality	
SRR26067918	PRJNA1014106	excluded_quality	
SRR26067919	PRJNA1014106	processed	ataxia_pbmc
SRR26067920	PRJNA1014106	processed	ataxia_pbmc
SRR26067921	PRJNA1014106	excluded_quality	
SRR26067922	PRJNA1014106	excluded_quality	
SRR26033653	PRJNA1014965	processed	tumor
SRR26033654	PRJNA1014965	processed	tumor
SRR26033655	PRJNA1014965	processed	tumor
SRR26033656	PRJNA1014965	processed	tumor
SRR26033657	PRJNA1014965	processed	tumor
SRR26033658	PRJNA1014965	processed	tumor
SRR26033659	PRJNA1014965	processed	normal
SRR26033660	PRJNA1014965	processed	normal
SRR26033661	PRJNA1014965	processed	normal
SRR26033662	PRJNA1014965	processed	normal
SRR26033663	PRJNA1014965	processed	normal
SRR26033664	PRJNA1014965	processed	normal
SRR26033665	PRJNA1014965	processed	normal
SRR26033666	PRJNA1014965	processed	normal
SRR26033667	PRJNA1014965	processed	normal
SRR26033668	PRJNA1014965	processed	normal
SRR26033669	PRJNA1014965	processed	tumor
SRR26033670	PRJNA1014965	processed	normal
SRR26033671	PRJNA1014965	processed	normal
SRR26033672	PRJNA1014965	processed	normal
SRR26033673	PRJNA1014965	processed	normal
SRR26033674	PRJNA1014965	processed	normal
SRR26033675	PRJNA1014965	processed	normal
SRR26033676	PRJNA1014965	processed	normal
SRR26033677	PRJNA1014965	processed	normal
SRR26033678	PRJNA1014965	processed	normal
SRR26033679	PRJNA1014965	processed	normal
SRR26033680	PRJNA1014965	processed	tumor
SRR26033681	PRJNA1014965	processed	tumor
SRR26033682	PRJNA1014965	excluded_quality	
SRR26033683	PRJNA1014965	processed	tumor
SRR26033684	PRJNA1014965	excluded_quality	
SRR26033685	PRJNA1014965	processed	tumor
SRR26033686	PRJNA1014965	excluded_quality	
SRR26033687	PRJNA1014965	processed	tumor
SRR26033688	PRJNA1014965	processed	tumor
SRR26033689	PRJNA1014965	processed	tumor
SRR26033690	PRJNA1014965	processed	tumor
SRR26033691	PRJNA1014965	processed	tumor
SRR26033692	PRJNA1014965	processed	tumor
SRR28819928	PRJNA1105191	processed	dms53
SRR28819929	PRJNA1105191	processed	ipsc_c7
SRR28819930	PRJNA1105191	processed	ipsc_c7
SRR28819931	PRJNA1105191	processed	ipsc_c7
SRR28819932	PRJNA1105191	processed	ipsc_c6
SRR28819933	PRJNA1105191	processed	ipsc_c6
SRR28819934	PRJNA1105191	processed	h841_sinfic
SRR28819935	PRJNA1105191	processed	h841_sinfic
SRR28819936	PRJNA1105191	processed	h841_sinfic
SRR28819937	PRJNA1105191	processed	ipsc_c6
SRR28819938	PRJNA1105191	processed	h841_sictrl
SRR28819939	PRJNA1105191	processed	h841_sictrl
SRR28819940	PRJNA1105191	processed	h841_sictrl
SRR28819941	PRJNA1105191	processed	dms53_sinfic
SRR28819942	PRJNA1105191	processed	dms53_sinfic
SRR28819943	PRJNA1105191	processed	dms53_sinfic
SRR28819944	PRJNA1105191	processed	dms53_sictrl
SRR28819945	PRJNA1105191	processed	dms53_sictrl
SRR28819946	PRJNA1105191	processed	dms53_sictrl
SRR28819947	PRJNA1105191	processed	h1417
SRR28819948	PRJNA1105191	processed	saec
SRR28819949	PRJNA1105191	processed	h1417
SRR28819950	PRJNA1105191	processed	h1417
SRR28819951	PRJNA1105191	processed	h69
SRR28819952	PRJNA1105191	processed	h69
SRR28819953	PRJNA1105191	processed	h69
SRR28819954	PRJNA1105191	processed	h841
SRR28819955	PRJNA1105191	processed	h841
SRR28819956	PRJNA1105191	processed	h841
SRR28819957	PRJNA1105191	processed	dms53
SRR28819958	PRJNA1105191	processed	dms53
SRR28819959	PRJNA1105191	processed	saec
SRR28819960	PRJNA1105191	processed	saec
SRR28920161	PRJNA1108066	processed	
SRR28920162	PRJNA1108066	processed	
SRR28920163	PRJNA1108066	processed	
SRR28920164	PRJNA1108066	processed	
SRR28920165	PRJNA1108066	processed	
SRR28920166	PRJNA1108066	processed	
SRR28920167	PRJNA1108066	processed	
SRR28920168	PRJNA1108066	processed	
SRR28920169	PRJNA1108066	processed	
SRR28920170	PRJNA1108066	processed	
SRR28920171	PRJNA1108066	processed	
SRR28920172	PRJNA1108066	processed	
SRR29300906	PRJNA1120369	processed	mega_01
SRR29300907	PRJNA1120369	processed	mega_01
SRR29300908	PRJNA1120369	processed	mega_01
SRR29300909	PRJNA1120369	processed	mega_01
SRR29300910	PRJNA1120369	processed	mega_01
SRR29300911	PRJNA1120369	processed	mega_01
SRR29300912	PRJNA1120369	download_incomplete	
SRR29300913	PRJNA1120369	processed	mega_01
SRR29300914	PRJNA1120369	processed	mega_01
SRR29300915	PRJNA1120369	processed	mega_01
SRR29300916	PRJNA1120369	processed	mega_01
SRR29300917	PRJNA1120369	processed	mega_01
SRR29300918	PRJNA1120369	processed	mega_01
SRR29300919	PRJNA1120369	processed	mega_01
SRR29300920	PRJNA1120369	processed	mega_01
SRR29300921	PRJNA1120369	download_incomplete	
SRR29302579	PRJNA1120369	processed	mega_02
SRR29302580	PRJNA1120369	processed	mega_02
SRR29302581	PRJNA1120369	processed	mega_02
SRR29302582	PRJNA1120369	processed	mega_02
SRR29302583	PRJNA1120369	processed	mega_02
SRR29302584	PRJNA1120369	processed	mega_02
SRR29302585	PRJNA1120369	processed	mega_02
SRR29302586	PRJNA1120369	processed	mega_02
SRR29302587	PRJNA1120369	processed	mega_02
SRR29302588	PRJNA1120369	processed	mega_02
SRR29302589	PRJNA1120369	processed	mega_02
SRR29302590	PRJNA1120369	processed	mega_02
SRR29302591	PRJNA1120369	processed	mega_02
SRR29302592	PRJNA1120369	processed	mega_02
SRR29302593	PRJNA1120369	processed	mega_02
SRR29302594	PRJNA1120369	processed	mega_02
SRR29302607	PRJNA1120369	processed	wt
SRR29302608	PRJNA1120369	processed	wt
SRR29302609	PRJNA1120369	processed	wt
SRR29302610	PRJNA1120369	processed	wt
SRR29302611	PRJNA1120369	processed	wt
SRR29302612	PRJNA1120369	processed	wt
SRR29302613	PRJNA1120369	processed	wt
SRR29302614	PRJNA1120369	processed	wt
SRR29590991	PRJNA1127555	processed	tumor
SRR29590992	PRJNA1127555	processed	tumor
SRR29590993	PRJNA1127555	processed	engager
SRR29590994	PRJNA1127555	processed	engager
SRR29590995	PRJNA1127555	processed	engager
SRR29590996	PRJNA1127555	processed	engager
SRR29590997	PRJNA1127555	processed	naive
SRR29590998	PRJNA1127555	processed	naive
SRR29590999	PRJNA1127555	processed	tumor
SRR29591000	PRJNA1127555	processed	tumor
SRR29591001	PRJNA1127555	processed	naive
SRR29591002	PRJNA1127555	processed	naive
SRR29916062	PRJNA1133701	processed	tp53ko_d_e
SRR29916063	PRJNA1133701	processed	tp53ko_etoposide
SRR29916064	PRJNA1133701	processed	tp53ko_etoposide
SRR29916065	PRJNA1133701	processed	tp53ko_etoposide
SRR29916066	PRJNA1133701	processed	tp53ko_decitabine
SRR29916067	PRJNA1133701	processed	tp53ko_decitabine
SRR29916068	PRJNA1133701	processed	tp53rescue_d_e
SRR29916069	PRJNA1133701	processed	tp53rescue_d_e
SRR29916070	PRJNA1133701	processed	tp53rescue_d_e
SRR29916071	PRJNA1133701	processed	tp53rescue_etoposide
SRR29916072	PRJNA1133701	processed	tp53rescue_etoposide
SRR29916073	PRJNA1133701	processed	tp53rescue_etoposide
SRR29916074	PRJNA1133701	processed	tp53ko_decitabine
SRR29916075	PRJNA1133701	processed	tp53rescue_decitabine
SRR29916076	PRJNA1133701	processed	tp53rescue_decitabine
SRR29916077	PRJNA1133701	processed	tp53rescue_decitabine
SRR29916078	PRJNA1133701	processed	tp53rescue_control
SRR29916079	PRJNA1133701	processed	tp53rescue_control
SRR29916080	PRJNA1133701	processed	tp53rescue_control
SRR29916081	PRJNA1133701	processed	tp53wt_d_e
SRR29916082	PRJNA1133701	processed	tp53wt_d_e
SRR29916083	PRJNA1133701	processed	tp53wt_d_e
SRR29916084	PRJNA1133701	processed	tp53wt_etoposide
SRR29916085	PRJNA1133701	processed	tp53ko_control
SRR29916086	PRJNA1133701	processed	tp53wt_etoposide
SRR29916087	PRJNA1133701	processed	tp53wt_etoposide
SRR29916088	PRJNA1133701	processed	tp53wt_decitabine
SRR29916089	PRJNA1133701	processed	tp53wt_decitabine
SRR29916090	PRJNA1133701	processed	tp53wt_decitabine
SRR29916091	PRJNA1133701	processed	tp53wt_control
SRR29916092	PRJNA1133701	processed	tp53wt_control
SRR29916093	PRJNA1133701	processed	tp53wt_control
SRR29916094	PRJNA1133701	processed	tp53ko_d_e
SRR29916095	PRJNA1133701	processed	tp53ko_d_e
SRR29916096	PRJNA1133701	processed	tp53ko_control
SRR29916097	PRJNA1133701	processed	tp53ko_control
SRR30840168	PRJNA1165739	processed	thp1_tib202
SRR30840169	PRJNA1165739	processed	thp1_tib202
SRR30840170	PRJNA1165739	processed	thp1_tib202
SRR30840171	PRJNA1165739	processed	thp1_tib202
SRR30840172	PRJNA1165739	processed	thp1_tib202
SRR30840173	PRJNA1165739	processed	thp1_tib202
SRR30840174	PRJNA1165739	processed	kasumi1_crl2724
SRR30840175	PRJNA1165739	processed	kasumi1_crl2724
SRR30840176	PRJNA1165739	processed	kasumi1_crl2724
SRR30840177	PRJNA1165739	processed	kasumi1_crl2724
SRR30840178	PRJNA1165739	processed	kasumi1_crl2724
SRR30840179	PRJNA1165739	processed	kasumi1_crl2724
SRR30840180	PRJNA1165739	processed	kasumi1_crl2724
SRR30840181	PRJNA1165739	processed	kasumi1_crl2724
SRR30840182	PRJNA1165739	processed	kasumi1_crl2724
SRR30840183	PRJNA1165739	processed	kasumi1_crl2724
SRR30840184	PRJNA1165739	processed	thp1_tib202
SRR30840185	PRJNA1165739	processed	k562_ccl243
SRR30840186	PRJNA1165739	processed	k562_ccl243
SRR30840187	PRJNA1165739	processed	k562_ccl243
SRR30840188	PRJNA1165739	processed	k562_ccl243
SRR30840189	PRJNA1165739	processed	k562_ccl243
SRR30840190	PRJNA1165739	processed	k562_ccl243
SRR30840191	PRJNA1165739	processed	k562_ccl243
SRR30840192	PRJNA1165739	processed	k562_ccl243
SRR30840193	PRJNA1165739	processed	k562_ccl243
SRR30840194	PRJNA1165739	processed	k562_ccl243
SRR30840195	PRJNA1165739	processed	thp1_tib202
SRR30840196	PRJNA1165739	processed	hl60_ccl240
SRR30840197	PRJNA1165739	processed	hl60_ccl240
SRR30840198	PRJNA1165739	processed	hl60_ccl240
SRR30840199	PRJNA1165739	processed	hl60_ccl240
SRR30840200	PRJNA1165739	processed	hl60_ccl240
SRR30840201	PRJNA1165739	processed	hl60_ccl240
SRR30840202	PRJNA1165739	processed	hl60_ccl240
SRR30840203	PRJNA1165739	processed	hl60_ccl240
SRR30840204	PRJNA1165739	processed	hl60_ccl240
SRR30840205	PRJNA1165739	processed	hl60_ccl240
SRR30840206	PRJNA1165739	processed	thp1_tib202
SRR30840207	PRJNA1165739	processed	thp1_tib202
SRR30882851	PRJNA1165993	excluded_quality	
SRR30882852	PRJNA1165993	excluded_quality	
SRR30882853	PRJNA1165993	excluded_quality	
SRR30882854	PRJNA1165993	excluded_quality	
SRR30882855	PRJNA1165993	excluded_quality	
