project	SRR_ID	method	rho_gene	jaccard_deg	rho_pathway	jaccard_pathway	dir_concordance
PRJNA1014965	SRR26033674	U	0.988458	0.463488	0.908764	0.958333	1.0
PRJNA1014965	SRR26033674	A	0.988537	0.463488	0.93584	0.877551	1.0
PRJNA1014965	SRR26033674	P5	0.988563	0.463257	0.905018	0.958333	1.0
PRJNA1014965	SRR26033674	P10	0.988563	0.463388	0.877281	0.875	1.0
PRJNA1014965	SRR26033674	P20	0.988574	0.464174	0.80293	0.895833	1.0
PRJNA1014965	SRR26033674	P35	0.987775	0.446095	0.904415	0.93617	1.0
PRJNA1014965	SRR26033664	U	0.989272	0.441408	0.896229	0.770833	1.0
PRJNA1014965	SRR26033664	A	0.989224	0.441532	0.910946	0.854167	1.0
PRJNA1014965	SRR26033664	P5	0.989221	0.441656	0.923864	0.833333	1.0
PRJNA1014965	SRR26033664	P10	0.98922	0.441594	0.893483	0.8125	1.0
PRJNA1014965	SRR26033664	P20	0.989228	0.441594	0.953396	0.893617	1.0
PRJNA1014965	SRR26033664	P35	0.98872	0.442353	0.964345	0.87234	1.0
PRJNA1014965	SRR26033688	U	0.987087	0.464796	0.830422	0.854167	1.0
PRJNA1014965	SRR26033688	A	0.98716	0.464346	0.923239	0.9375	1.0
PRJNA1014965	SRR26033688	P5	0.987209	0.464571	0.934022	0.958333	1.0
PRJNA1014965	SRR26033688	P10	0.987207	0.464541	0.899207	0.857143	1.0
PRJNA1014965	SRR26033688	P20	0.987211	0.464571	0.940623	0.9375	1.0
PRJNA1014965	SRR26033688	P35	0.98616	0.450189	0.878212	0.877551	1.0
PRJNA1014965	SRR26033672	U	0.989149	0.443332	0.969915	0.891304	1.0
PRJNA1014965	SRR26033672	A	0.989209	0.443429	0.726255	0.787234	1.0
PRJNA1014965	SRR26033672	P5	0.989203	0.443269	0.813545	0.808511	1.0
PRJNA1014965	SRR26033672	P10	0.989192	0.443269	0.901006	0.851064	1.0
PRJNA1014965	SRR26033672	P20	0.989357	0.447319	0.961777	0.893617	1.0
PRJNA1014965	SRR26033672	P35	0.849337	0.346648	0.5357	0.162791	1.0
PRJNA1014965	SRR26033679	U	0.988471	0.438702	0.858982	0.854167	1.0
PRJNA1014965	SRR26033679	A	0.988629	0.438798	0.92877	0.914894	1.0
PRJNA1014965	SRR26033679	P5	0.98864	0.438867	0.896204	0.877551	1.0
PRJNA1014965	SRR26033679	P10	0.988669	0.438737	0.907153	0.895833	1.0
PRJNA1014965	SRR26033679	P20	0.988753	0.443359	0.773808	0.8125	1.0
PRJNA1014965	SRR26033679	P35	0.85355	0.348552	0.619029	0.148936	1.0
PRJNA1014965	SRR26033673	U	0.989166	0.452233	0.947083	0.916667	1.0
PRJNA1014965	SRR26033673	A	0.989189	0.452239	0.819981	0.854167	1.0
PRJNA1014965	SRR26033673	P5	0.989173	0.452302	0.955897	0.816327	1.0
PRJNA1014965	SRR26033673	P10	0.989175	0.452331	0.8384	0.833333	1.0
PRJNA1014965	SRR26033673	P20	0.989309	0.453196	0.835086	0.875	1.0
PRJNA1014965	SRR26033673	P35	0.843121	0.33458	0.575781	0.1875	1.0
PRJNA1014965	SRR26033671	U	0.988714	0.438095	0.869601	0.791667	1.0
PRJNA1014965	SRR26033671	A	0.988789	0.438813	0.821168	0.734694	1.0
PRJNA1014965	SRR26033671	P5	0.988801	0.438752	0.877236	0.791667	1.0
PRJNA1014965	SRR26033671	P10	0.988799	0.438629	0.83489	0.804348	1.0
PRJNA1014965	SRR26033671	P20	0.988807	0.445209	0.86834	0.791667	1.0
PRJNA1014965	SRR26033671	P35	0.853661	0.348442	0.604803	0.275	1.0
PRJNA1014965	SRR26033676	U	0.984717	0.428769	0.842614	0.877551	1.0
PRJNA1014965	SRR26033676	A	0.984724	0.428804	0.888105	0.918367	1.0
PRJNA1014965	SRR26033676	P5	0.984716	0.428718	0.878596	0.897959	1.0
PRJNA1014965	SRR26033676	P10	0.98472	0.428743	0.933637	0.959184	1.0
PRJNA1014965	SRR26033676	P20	0.984779	0.431495	0.773048	0.857143	1.0
PRJNA1014965	SRR26033676	P35	0.863415	0.346341	0.648286	0.183673	1.0
PRJNA1014965	SRR26033675	U	0.988442	0.435514	0.926601	0.893617	1.0
PRJNA1014965	SRR26033675	A	0.988335	0.435888	0.942459	0.869565	1.0
PRJNA1014965	SRR26033675	P5	0.988331	0.435861	0.8878	0.893617	1.0
PRJNA1014965	SRR26033675	P10	0.988331	0.435861	0.947358	0.851064	1.0
PRJNA1014965	SRR26033675	P20	0.988313	0.435801	0.845773	0.891304	1.0
PRJNA1014965	SRR26033675	P35	0.854888	0.348623	0.576045	0.209302	1.0
PRJNA1014965	SRR26033668	U	0.988666	0.432319	0.911234	0.869565	1.0
PRJNA1014965	SRR26033668	A	0.988917	0.432596	0.841233	0.829787	1.0
PRJNA1014965	SRR26033668	P5	0.988886	0.432588	0.918108	0.866667	1.0
PRJNA1014965	SRR26033668	P10	0.988886	0.432527	0.888969	0.808511	1.0
PRJNA1014965	SRR26033668	P20	0.988965	0.441442	0.791162	0.770833	1.0
PRJNA1014965	SRR26033668	P35	0.853724	0.350985	0.545438	0.214286	1.0
PRJNA1014965	SRR26033678	U	0.989272	0.439039	0.830307	0.75	1.0
PRJNA1014965	SRR26033678	A	0.989221	0.439688	0.917399	0.888889	1.0
PRJNA1014965	SRR26033678	P5	0.989221	0.439688	0.860101	0.826087	1.0
PRJNA1014965	SRR26033678	P10	0.989222	0.439688	0.857493	0.847826	1.0
PRJNA1014965	SRR26033678	P20	0.989222	0.439688	0.862556	0.808511	1.0
PRJNA1014965	SRR26033678	P35	0.851471	0.349285	0.585795	0.219512	1.0
PRJNA1014965	SRR26033661	U	0.98867	0.440518	0.878436	0.847826	1.0
PRJNA1014965	SRR26033661	A	0.988689	0.441285	0.835374	0.866667	1.0
PRJNA1014965	SRR26033661	P5	0.988695	0.4411	0.856903	0.829787	1.0
PRJNA1014965	SRR26033661	P10	0.988695	0.4411	0.865053	0.826087	1.0
PRJNA1014965	SRR26033661	P20	0.988937	0.446994	0.865162	0.8125	1.0
PRJNA1014965	SRR26033661	P35	0.851952	0.348792	0.546227	0.238095	0.95
PRJNA1014965	SRR26033689	U	0.990825	0.462773	0.890538	0.957447	1.0
PRJNA1014965	SRR26033689	A	0.990915	0.463289	0.957238	0.9375	1.0
PRJNA1014965	SRR26033689	P5	0.990907	0.463482	0.83708	0.914894	1.0
PRJNA1014965	SRR26033689	P10	0.990893	0.46374	0.862844	0.93617	1.0
PRJNA1014965	SRR26033689	P20	0.990496	0.462416	0.905232	0.918367	1.0
PRJNA1014965	SRR26033689	P35	0.67142	0.135184	0.720749	0.416667	1.0
