project	SRR_ID	method	rho_gene	jaccard_deg	rho_pathway	jaccard_pathway	dir_concordance
PRJNA381757	SRR5420974	U	0.898417	0.614174	0.937287	0.979167	1.0
PRJNA381757	SRR5420974	A	0.898416	0.614174	0.943818	0.979167	1.0
PRJNA381757	SRR5420974	P5	0.898396	0.614292	0.946218	0.958333	1.0
PRJNA381757	SRR5420974	P10	0.898424	0.614256	0.942665	0.979167	1.0
PRJNA381757	SRR5420974	P20	0.885221	0.610415	0.958607	0.938776	1.0
PRJNA381757	SRR5420974	P35	0.605191	0.350849	0.885111	0.854167	1.0
PRJNA381757	SRR5420975	U	0.99288	0.730682	0.994334	0.959184	1.0
PRJNA381757	SRR5420975	A	0.99288	0.730682	0.989052	0.979167	1.0
PRJNA381757	SRR5420975	P5	0.992984	0.730701	0.991068	1.0	1.0
PRJNA381757	SRR5420975	P10	0.992963	0.73065	0.995774	1.0	1.0
PRJNA381757	SRR5420975	P20	0.987415	0.732647	0.996062	1.0	1.0
PRJNA381757	SRR5420975	P35	0.782927	0.387016	0.956687	0.92	1.0
PRJNA381757	SRR5420977	U	0.994016	0.736882	0.992893	0.979167	1.0
PRJNA381757	SRR5420977	A	0.994016	0.736882	0.992509	0.979167	1.0
PRJNA381757	SRR5420977	P5	0.993985	0.736952	0.995486	0.979167	1.0
PRJNA381757	SRR5420977	P10	0.993956	0.737159	0.993277	0.979167	1.0
PRJNA381757	SRR5420977	P20	0.988468	0.735245	0.994238	0.959184	1.0
PRJNA381757	SRR5420977	P35	0.766129	0.377615	0.943721	0.938776	1.0
PRJNA381757	SRR6518342	U	0.99259	0.72731	0.996543	0.979167	1.0
PRJNA381757	SRR6518342	A	0.992585	0.72731	0.992701	1.0	1.0
PRJNA381757	SRR6518342	P5	0.992579	0.727378	0.993661	1.0	1.0
PRJNA381757	SRR6518342	P10	0.992517	0.727124	0.992221	0.979592	1.0
PRJNA381757	SRR6518342	P20	0.975906	0.727459	0.993085	1.0	1.0
PRJNA381757	SRR6518342	P35	0.784942	0.383678	0.937287	0.938776	1.0
PRJNA381757	SRR5420976	U	0.993843	0.739641	0.991645	1.0	1.0
PRJNA381757	SRR5420976	A	0.993844	0.739641	0.994526	1.0	1.0
PRJNA381757	SRR5420976	P5	0.993886	0.74004	0.992221	0.959184	1.0
PRJNA381757	SRR5420976	P10	0.993887	0.74004	0.993181	0.959184	1.0
PRJNA381757	SRR5420976	P20	0.989625	0.74298	0.991453	1.0	1.0
PRJNA381757	SRR5420976	P35	0.77933	0.379312	0.954862	0.959184	1.0
PRJNA381757	SRR5420979	U	0.99345	0.729969	0.99443	1.0	1.0
PRJNA381757	SRR5420979	A	0.99345	0.729969	0.996447	1.0	1.0
PRJNA381757	SRR5420979	P5	0.993511	0.730038	0.996062	1.0	1.0
PRJNA381757	SRR5420979	P10	0.993525	0.730038	0.994718	1.0	1.0
PRJNA381757	SRR5420979	P20	0.989132	0.729494	0.995102	1.0	1.0
PRJNA381757	SRR5420979	P35	0.768849	0.382588	0.950348	0.94	1.0
PRJNA381757	SRR6518344	U	0.992739	0.744246	0.996062	0.979167	1.0
PRJNA381757	SRR6518344	A	0.992809	0.744246	0.99539	1.0	1.0
PRJNA381757	SRR6518344	P5	0.99275	0.744176	0.995486	1.0	1.0
PRJNA381757	SRR6518344	P10	0.992667	0.744246	0.99443	0.979592	1.0
PRJNA381757	SRR6518344	P20	0.97632	0.737273	0.994046	0.979592	1.0
PRJNA381757	SRR6518344	P35	0.768246	0.370986	0.967923	0.958333	1.0
PRJNA381757	SRR5420978	U	0.9934	0.734203	0.993277	1.0	1.0
PRJNA381757	SRR5420978	A	0.993399	0.734203	0.993565	0.979592	1.0
PRJNA381757	SRR5420978	P5	0.993418	0.734134	0.993085	0.959184	1.0
PRJNA381757	SRR5420978	P10	0.993322	0.734153	0.992893	0.979592	1.0
PRJNA381757	SRR5420978	P20	0.988366	0.735229	0.992893	0.979592	1.0
PRJNA381757	SRR5420978	P35	0.772955	0.379415	0.938151	0.938776	1.0
PRJNA381757	SRR6518343	U	0.991179	0.737386	0.992893	0.959184	1.0
PRJNA381757	SRR6518343	A	0.991179	0.737386	0.992509	0.959184	1.0
PRJNA381757	SRR6518343	P5	0.991186	0.737386	0.992413	0.979167	1.0
PRJNA381757	SRR6518343	P10	0.99107	0.737404	0.994046	0.979167	1.0
PRJNA381757	SRR6518343	P20	0.975913	0.731209	0.98886	0.979167	1.0
PRJNA381757	SRR6518343	P35	0.76267	0.37199	0.952461	0.918367	1.0
PRJNA381757	SRR6518345	U	0.982619	0.717638	0.993277	0.979592	1.0
PRJNA381757	SRR6518345	A	0.982616	0.717638	0.991261	0.959184	1.0
PRJNA381757	SRR6518345	P5	0.982788	0.717638	0.992029	0.959184	1.0
PRJNA381757	SRR6518345	P10	0.982637	0.717571	0.989148	0.979167	1.0
PRJNA381757	SRR6518345	P20	0.968521	0.705214	0.98982	0.959184	1.0
PRJNA381757	SRR6518345	P35	0.72629	0.365504	0.942281	0.918367	1.0
PRJNA381757	SRR6518346	U	0.969385	0.726806	0.98617	0.938776	1.0
PRJNA381757	SRR6518346	A	0.969385	0.726806	0.984058	0.959184	1.0
PRJNA381757	SRR6518346	P5	0.96937	0.72702	0.988475	0.938776	1.0
PRJNA381757	SRR6518346	P10	0.969382	0.726878	0.98425	0.938776	1.0
PRJNA381757	SRR6518346	P20	0.927471	0.721003	0.983866	0.94	1.0
PRJNA381757	SRR6518346	P35	0.367545	0.367656	0.564491	0.0625	0.95
PRJNA381757	SRR6518347	U	0.96798	0.730198	0.988956	0.979167	1.0
PRJNA381757	SRR6518347	A	0.96797	0.730271	0.98425	1.0	1.0
PRJNA381757	SRR6518347	P5	0.967956	0.730271	0.984826	1.0	1.0
PRJNA381757	SRR6518347	P10	0.967967	0.730218	0.98425	1.0	1.0
PRJNA381757	SRR6518347	P20	0.925366	0.722332	0.988283	0.959184	1.0
PRJNA381757	SRR6518347	P35	0.355639	0.340717	0.557803	0.104167	0.9
PRJNA381757	SRR5420980	U	0.958088	0.730976	0.988764	0.979592	1.0
PRJNA381757	SRR5420980	A	0.958084	0.730976	0.987227	1.0	1.0
PRJNA381757	SRR5420980	P5	0.958094	0.73112	0.983481	1.0	1.0
PRJNA381757	SRR5420980	P10	0.958094	0.73112	0.988571	1.0	1.0
PRJNA381757	SRR5420980	P20	0.940331	0.727201	0.989532	1.0	1.0
PRJNA381757	SRR5420980	P35	0.341558	0.36964	0.489725	0.104167	0.95
PRJNA479479	SRR7634075	U	0.920383	0.207547	0.957359	0.959184	1.0
PRJNA479479	SRR7634075	A	0.920433	0.207547	0.961297	0.959184	1.0
PRJNA479479	SRR7634075	P5	0.917442	0.207547	0.951597	0.959184	1.0
PRJNA479479	SRR7634075	P10	0.917009	0.206904	0.954574	0.959184	1.0
PRJNA479479	SRR7634075	P20	0.904301	0.206397	0.958415	0.959184	1.0
PRJNA479479	SRR7634075	P35	0.615795	0.120874	0.65007	0.212766	0.85
PRJNA479479	SRR7634071	U	0.929626	0.248009	0.969556	1.0	1.0
PRJNA479479	SRR7634071	A	0.929686	0.248009	0.963697	1.0	1.0
PRJNA479479	SRR7634071	P5	0.926106	0.247324	0.966194	1.0	1.0
PRJNA479479	SRR7634071	P10	0.925416	0.247873	0.967635	1.0	1.0
PRJNA479479	SRR7634071	P20	0.910886	0.244988	0.967539	1.0	1.0
PRJNA479479	SRR7634071	P35	0.605866	0.113081	0.519139	0.102041	0.85
PRJNA479479	SRR7634077	U	0.925161	0.253009	0.944586	0.979592	1.0
PRJNA479479	SRR7634077	A	0.925069	0.253009	0.942665	0.979592	1.0
PRJNA479479	SRR7634077	P5	0.921754	0.253915	0.935846	0.979592	1.0
PRJNA479479	SRR7634077	P10	0.921088	0.252796	0.938151	0.959184	1.0
PRJNA479479	SRR7634077	P20	0.907425	0.251748	0.943337	0.979592	1.0
PRJNA479479	SRR7634077	P35	0.607399	0.11848	0.571295	0.125	0.9
PRJNA479479	SRR7634072	U	0.923363	0.221704	0.963601	0.979592	1.0
PRJNA479479	SRR7634072	A	0.923277	0.221704	0.960336	0.979592	1.0
PRJNA479479	SRR7634072	P5	0.920199	0.219686	0.961008	0.979592	1.0
PRJNA479479	SRR7634072	P10	0.920135	0.220722	0.964562	0.959184	1.0
PRJNA479479	SRR7634072	P20	0.909159	0.219578	0.960528	0.979592	1.0
PRJNA479479	SRR7634072	P35	0.593321	0.114118	0.570784	0.145833	0.95
PRJNA479479	SRR7634073	U	0.931636	0.248352	0.961008	0.959184	1.0
PRJNA479479	SRR7634073	A	0.931679	0.248352	0.963505	0.938776	1.0
PRJNA479479	SRR7634073	P5	0.927905	0.248558	0.9491	0.959184	1.0
PRJNA479479	SRR7634073	P10	0.927791	0.248558	0.953325	0.959184	1.0
PRJNA479479	SRR7634073	P20	0.913284	0.24691	0.945258	0.938776	1.0
PRJNA479479	SRR7634073	P35	0.526195	0.149355	0.360811	0.148936	0.75
PRJNA479479	SRR7634080	U	0.932093	0.251883	0.969076	1.0	1.0
PRJNA479479	SRR7634080	A	0.931996	0.251883	0.970132	1.0	1.0
PRJNA479479	SRR7634080	P5	0.929002	0.254322	0.965714	0.979592	1.0
PRJNA479479	SRR7634080	P10	0.929245	0.254601	0.967923	0.979592	1.0
PRJNA479479	SRR7634080	P20	0.918225	0.248187	0.962353	0.979592	1.0
PRJNA479479	SRR7634080	P35	0.533508	0.149139	0.409495	0.22	0.85
PRJNA479479	SRR7634074	U	0.917421	0.224429	0.93066	0.938776	1.0
PRJNA479479	SRR7634074	A	0.917327	0.224429	0.946411	0.938776	1.0
PRJNA479479	SRR7634074	P5	0.914287	0.224621	0.943337	0.938776	1.0
PRJNA479479	SRR7634074	P10	0.913104	0.226799	0.930468	0.938776	1.0
PRJNA479479	SRR7634074	P20	0.898309	0.225174	0.941032	0.897959	1.0
PRJNA479479	SRR7634074	P35	0.628612	0.123873	0.573535	0.065217	0.9
PRJNA479479	SRR7634069	U	0.930565	0.212406	0.978679	0.959184	1.0
PRJNA479479	SRR7634069	A	0.930629	0.212406	0.974646	0.959184	1.0
PRJNA479479	SRR7634069	P5	0.927167	0.213111	0.971573	0.959184	1.0
PRJNA479479	SRR7634069	P10	0.927208	0.212826	0.978199	0.959184	1.0
PRJNA479479	SRR7634069	P20	0.915587	0.209488	0.97599	0.959184	1.0
PRJNA479479	SRR7634069	P35	0.565897	0.159995	0.430817	0.244898	0.9
PRJNA479479	SRR7634079	U	0.941658	0.225356	0.975798	0.98	1.0
PRJNA479479	SRR7634079	A	0.941634	0.225356	0.978295	0.98	1.0
PRJNA479479	SRR7634079	P5	0.938383	0.223609	0.972917	0.98	1.0
PRJNA479479	SRR7634079	P10	0.938235	0.223609	0.975318	0.96	1.0
PRJNA479479	SRR7634079	P20	0.927745	0.225299	0.975414	0.98	1.0
PRJNA479479	SRR7634079	P35	0.560503	0.16158	0.488583	0.26	0.9
PRJNA479479	SRR7634070	U	0.923341	0.242351	0.960912	1.0	1.0
PRJNA479479	SRR7634070	A	0.923353	0.242351	0.958031	1.0	1.0
PRJNA479479	SRR7634070	P5	0.921229	0.243628	0.958031	1.0	1.0
PRJNA479479	SRR7634070	P10	0.920855	0.243628	0.96437	1.0	1.0
PRJNA479479	SRR7634070	P20	0.908679	0.243562	0.959952	1.0	1.0
PRJNA479479	SRR7634070	P35	0.556757	0.162335	0.359313	0.2	0.85
PRJNA479479	SRR7634076	U	0.930386	0.235478	0.959664	0.94	1.0
PRJNA479479	SRR7634076	A	0.930331	0.235478	0.971861	0.94	1.0
PRJNA479479	SRR7634076	P5	0.927618	0.235738	0.967059	0.94	1.0
PRJNA479479	SRR7634076	P10	0.927296	0.236259	0.960816	0.94	1.0
PRJNA479479	SRR7634076	P20	0.9143	0.235417	0.968884	0.92	1.0
PRJNA479479	SRR7634076	P35	0.550814	0.150123	0.544815	0.25	0.9
PRJNA479479	SRR7634078	U	0.932459	0.23269	0.950156	0.94	1.0
PRJNA479479	SRR7634078	A	0.932427	0.232432	0.957359	0.94	1.0
