BioProject	SRR_ID	sample_alias	group	class	condition	condition_original	condition_raw	srr_description	binary_split	exclude	in_prev_loso	prev_loso_ref	prev_loso_contrast	n_in_orig_condition	is_singleton	has_local_counts	organism	library_layout	annotation_status	annotation_confidence	annotation_basis	annotation_notes	source_url	manuscript_url
PRJNA1014965	SRR26033659	MEC_N_20	1	control	control	normal	Normal	MEC_N_20 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033660	MEC_N_19	1	control	control	normal	Normal	MEC_N_19 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033661	MEC_N_18	1	control	control	normal	Normal	MEC_N_18 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033662	MEC_N_17	1	control	control	normal	Normal	MEC_N_17 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033663	MEC_N_16	1	control	control	normal	Normal	MEC_N_16 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033664	MEC_N_15	1	control	control	normal	Normal	MEC_N_15 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033665	MEC_N_14	1	control	control	normal	Normal	MEC_N_14 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033666	MEC_N_13	1	control	control	normal	Normal	MEC_N_13 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033667	MEC_N_12	1	control	control	normal	Normal	MEC_N_12 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
PRJNA1014965	SRR26033668	MEC_N_11	1	control	control	normal	Normal	MEC_N_11 | RNA-Seq of mucoepidermoid carcinoma	technical_control_vs_treatment		yes	normal	tumor vs normal	20	no	yes	Homo sapiens	PAIRED	technical_binary_standardized	deterministic	reviewed source conditions partitioned into two technical classes	Primary group/class/condition are standardized technical labels. The prior reviewed biological annotation is retained in *_reviewed_previous columns.	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1014965	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799913/
