project	SRR_ID	method	rho_gene	jaccard_deg	rho_pathway	jaccard_pathway	dir_concordance
PRJNA1014965	SRR26033664	U	0.989272	0.441408	0.830987	0.804348	1.000000
PRJNA1014965	SRR26033664	A	0.989216	0.441532	0.774520	0.812500	1.000000
PRJNA1014965	SRR26033664	P5	0.989229	0.441656	0.848424	0.812500	1.000000
PRJNA1014965	SRR26033664	P10	0.989208	0.441566	0.845555	0.847826	1.000000
PRJNA1014965	SRR26033664	P20	0.989228	0.441532	0.875726	0.854167	1.000000
PRJNA1014965	SRR26033664	P35	0.988720	0.442353	0.879568	0.851064	1.000000
PRJNA1014965	SRR26033688	U	0.987081	0.464861	0.828659	0.860000	1.000000
PRJNA1014965	SRR26033688	A	0.987167	0.464376	0.842840	0.875000	1.000000
PRJNA1014965	SRR26033688	P5	0.987204	0.464541	0.876168	0.895833	1.000000
PRJNA1014965	SRR26033688	P10	0.987206	0.464571	0.860944	0.895833	1.000000
PRJNA1014965	SRR26033688	P20	0.987211	0.464571	0.863646	0.897959	1.000000
PRJNA1014965	SRR26033688	P35	0.986162	0.450189	0.851497	0.860000	1.000000
PRJNA1014965	SRR26033674	U	0.988454	0.463483	0.963048	0.854167	1.000000
PRJNA1014965	SRR26033674	A	0.988552	0.463548	0.881892	0.833333	1.000000
PRJNA1014965	SRR26033674	P5	0.988559	0.463418	0.892988	0.812500	1.000000
PRJNA1014965	SRR26033674	P10	0.988559	0.463353	0.804278	0.770833	1.000000
PRJNA1014965	SRR26033674	P20	0.988568	0.464304	0.915574	0.833333	1.000000
PRJNA1014965	SRR26033674	P35	0.987769	0.446124	0.873106	0.854167	1.000000
PRJNA1014965	SRR26033667	U	0.969319	0.478422	0.970228	0.937500	1.000000
PRJNA1014965	SRR26033667	A	0.969577	0.479425	0.891882	0.916667	1.000000
PRJNA1014965	SRR26033667	P5	0.969577	0.479077	0.884391	0.916667	1.000000
PRJNA1014965	SRR26033667	P10	0.969580	0.479077	0.840657	0.895833	1.000000
PRJNA1014965	SRR26033667	P20	0.969467	0.480734	0.844691	0.895833	1.000000
PRJNA1014965	SRR26033667	P35	0.864819	0.293188	0.667374	0.229167	1.000000
PRJNA1014965	SRR26033677	U	0.989394	0.438840	0.672418	0.787234	1.000000
PRJNA1014965	SRR26033677	A	0.989247	0.439700	0.870645	0.869565	1.000000
PRJNA1014965	SRR26033677	P5	0.989205	0.439727	0.850941	0.851064	1.000000
PRJNA1014965	SRR26033677	P10	0.989186	0.439700	0.776276	0.829787	1.000000
PRJNA1014965	SRR26033677	P20	0.989153	0.443707	0.894571	0.893617	1.000000
PRJNA1014965	SRR26033677	P35	0.852814	0.347368	0.508853	0.209302	1.000000
PRJNA1014965	SRR26033676	U	0.984706	0.428743	0.842027	0.836735	1.000000
PRJNA1014965	SRR26033676	A	0.984724	0.428804	0.866110	0.877551	1.000000
PRJNA1014965	SRR26033676	P5	0.984717	0.428743	0.878500	0.877551	1.000000
PRJNA1014965	SRR26033676	P10	0.984718	0.428743	0.935942	0.938776	1.000000
PRJNA1014965	SRR26033676	P20	0.984773	0.431521	0.772526	0.877551	1.000000
PRJNA1014965	SRR26033676	P35	0.863990	0.346497	0.589372	0.291667	1.000000
PRJNA1014965	SRR26033668	U	0.988666	0.432319	0.863848	0.787234	1.000000
PRJNA1014965	SRR26033668	A	0.988918	0.432622	0.840692	0.787234	1.000000
PRJNA1014965	SRR26033668	P5	0.988885	0.432527	0.968980	0.872340	1.000000
PRJNA1014965	SRR26033668	P10	0.988887	0.432527	0.849712	0.808511	1.000000
PRJNA1014965	SRR26033668	P20	0.988966	0.441442	0.886387	0.854167	1.000000
PRJNA1014965	SRR26033668	P35	0.854131	0.350878	0.557719	0.232558	0.950000
PRJNA1014965	SRR26033666	U	0.982006	0.453679	0.813596	0.836735	1.000000
PRJNA1014965	SRR26033666	A	0.981983	0.454069	0.829024	0.918367	1.000000
PRJNA1014965	SRR26033666	P5	0.981974	0.453941	0.907201	0.897959	1.000000
PRJNA1014965	SRR26033666	P10	0.981974	0.453941	0.907131	0.938776	1.000000
PRJNA1014965	SRR26033666	P20	0.981972	0.453877	0.930564	0.938776	1.000000
PRJNA1014965	SRR26033666	P35	0.857177	0.336134	0.558896	0.270833	1.000000
PRJNA1014965	SRR26033671	U	0.988703	0.438103	0.829247	0.826087	1.000000
PRJNA1014965	SRR26033671	A	0.988787	0.438786	0.780350	0.765957	1.000000
PRJNA1014965	SRR26033671	P5	0.988799	0.438752	0.820097	0.765957	1.000000
PRJNA1014965	SRR26033671	P10	0.988798	0.438752	0.947536	0.808511	1.000000
PRJNA1014965	SRR26033671	P20	0.988805	0.445209	0.786522	0.770833	1.000000
PRJNA1014965	SRR26033671	P35	0.854164	0.348531	0.614156	0.243902	1.000000
PRJNA1014965	SRR26033670	U	0.980799	0.476703	0.945834	0.959184	1.000000
PRJNA1014965	SRR26033670	A	0.980806	0.477042	0.939688	0.958333	1.000000
PRJNA1014965	SRR26033670	P5	0.980810	0.477110	0.948235	0.938776	1.000000
PRJNA1014965	SRR26033670	P10	0.980810	0.477110	0.930731	0.937500	1.000000
PRJNA1014965	SRR26033670	P20	0.980816	0.477110	0.785347	0.857143	1.000000
PRJNA1014965	SRR26033670	P35	0.839835	0.305119	0.708991	0.183673	1.000000
