project	method	n_deg_untrimmed	n_deg_trimmed	deg_jaccard	deg_gained	deg_lost	rho_log2fc	rho_top50_rank	n_path_untrimmed	n_path_trimmed	path_jaccard	rho_nes	dir_concordance
PRJNA1014965	A	7207	7274	0.9712768853797985	139	72	0.9963878141059358	0.956014405762305	41	42	0.8444444444444444	0.8198193955812959	1.0
PRJNA1014965	P5	7207	7274	0.9677945373012637	152	85	0.9959938970985365	0.9561104441776711	41	41	0.8636363636363636	0.8569026892702137	1.0
PRJNA1014965	P10	7207	7270	0.9616531165311654	173	110	0.995514446769243	0.95937575030012	41	43	0.8666666666666667	0.9112610986415218	1.0
PRJNA1014965	P20	7207	7701	0.8570004982561036	821	327	0.9798837044970471	0.8988715486194477	41	42	0.8863636363636364	0.9093572964053152	1.0
PRJNA1014965	P35	7207	0	0.0	0	7207	0.1004124415485814	0.17765882860370955	41	49	0.8	0.0741594641942447	0.8
PRJNA1105191	A	13481	13551	0.9478310995820723	397	327	0.9850957647296716	0.5655222088835534	43	43	0.9545454545454546	0.98953181272509	1.0
PRJNA1105191	P5	13481	13246	0.9322585309427415	351	586	0.9849821280025282	0.43923169267707085	43	44	0.9772727272727273	0.9796398559423769	1.0
PRJNA1105191	P10	13481	13648	0.9524289312702411	414	247	0.9850780978285156	0.9321968787515006	43	43	1.0	0.9951020408163265	1.0
PRJNA1105191	P20	13481	14150	0.860422838674926	1371	702	0.9298135878814062	0.5091476590636254	43	46	0.9347826086956522	0.9753181272509003	1.0
PRJNA1105191	P35	13481	0	0.0	0	13481	-0.007215061393076706	-0.0642016806722689	43	50	0.86	0.06477791116446578	0.25
PRJNA1120369	A	839	832	0.7795527156549521	100	107	0.975638148442188	0.9971188475390156	34	33	0.9705882352941176	0.990876350540216	1.0
PRJNA1120369	P5	839	1002	0.64375	281	118	0.9750690270046122	0.9582232893157262	34	35	0.9166666666666666	0.9871308523409363	1.0
PRJNA1120369	P10	839	1003	0.6387900355871886	285	121	0.9750578486870621	0.9578391356542617	34	33	0.8611111111111112	0.986938775510204	1.0
PRJNA1120369	P20	839	106	0.06900452488687783	45	778	0.7415222657285513	0.7107322929171668	34	17	0.275	0.7683553421368547	0.45
PRJNA1120369	P35	839	28	0.016412661195779603	14	825	0.24792076048721967	0.6705882352941177	34	47	0.6875	0.65906362545018	0.95
PRJNA1127555	A	373	34	0.07957559681697612	4	343	0.8771147459304961	0.3914045618247299	33	31	0.8823529411764706	0.9378631452581032	1.0
PRJNA1127555	P5	373	412	0.673773987206823	96	57	0.9494081694296685	0.6834573829531811	33	34	0.9142857142857143	0.9853061224489795	1.0
PRJNA1127555	P10	373	194	0.42462311557788945	25	204	0.8366482895239705	0.5124129651860744	33	37	0.8421052631578947	0.9452581032412964	1.0
