job_id	srr_id	project_id	mode	layout	total_reads	paired_reads	unpaired_reads	aligned_exactly_1	aligned_gt1	aligned_0	concordant_exactly_1	concordant_gt1	discordant_1	pairs_0_concordant	overall_alignment_rate
NA	SRR26067913	PRJNA1014106	untrimmed	PE	357814575	357814575					246274231	53721651	36743533	57818693	97.91%
NA	SRR26067914	PRJNA1014106	untrimmed	PE	378961081	378961081					260356483	55910772	38413652	62693826	97.61%
NA	SRR26067915	PRJNA1014106	untrimmed	PE	353928861	353928861					244238477	50130757	38238662	59559627	98.00%
NA	SRR26067916	PRJNA1014106	untrimmed	PE	483377677	483377677					325848624	67807511	54820412	89721542	97.00%
NA	SRR26067916	PRJNA1014106	untrmd_SRR26067916	SE	483377677			373521238	98380646	11475793					97.63%
NA	SRR26067916	PRJNA1014106	SRR26067916_trimmomatic_adapter	SE	483037663			375773799	99746619	7517245					98.44%
NA	SRR26067916	PRJNA1014106	SRR26067916_trimmomatic_P5	SE	483035237			375773761	99745597	7515879					98.44%
NA	SRR26067916	PRJNA1014106	SRR26067916_trimmomatic_P10	SE	483035237			375773610	99745986	7515641					98.44%
NA	SRR26067916	PRJNA1014106	SRR26067916_trimmomatic_P20	SE	483035237			375769136	99750284	7515817					98.44%
NA	SRR26067916	PRJNA1014106	adapter_only	SE	483037663			375773799	99746619	7517245					98.44%
NA	SRR26067916	PRJNA1014106	P5	SE	483035237			375773761	99745597	7515879					98.44%
NA	SRR26067916	PRJNA1014106	P10	SE	483035237			375773610	99745986	7515641					98.44%
NA	SRR26067916	PRJNA1014106	P20	SE	483035237			375769136	99750284	7515817					98.44%
NA	SRR26033679	PRJNA1014965	untrimmed	PE	41979855	41979855					9377806	24286689	841319	8315360	93.08%
NA	SRR26033679	PRJNA1014965	adapter_only	PE	41978820	41978820					9372499	24268565	845991	8337756	93.09%
NA	SRR26033679	PRJNA1014965	P5	PE	41977653	41977653					9374152	24285533	847068	8317968	93.12%
NA	SRR26033679	PRJNA1014965	P10	PE	41585124	41585124					9185131	24379204	834715	8020789	93.68%
NA	SRR26033685	PRJNA1014965	untrimmed	PE	61455188	61455188					31799466	18145674	2369570	11510048	91.85%
NA	SRR26033685	PRJNA1014965	adapter_only	PE	61438970	61438970					32000266	18319405	2284775	11119299	92.27%
NA	SRR26033685	PRJNA1014965	P5	PE	61438600	61438600					31996305	18317506	2288116	11124789	92.27%
NA	SRR26033685	PRJNA1014965	P10	PE	61438600	61438600					31996461	18317544	2288121	11124595	92.27%
NA	SRR26033685	PRJNA1014965	P20	PE	61426200	61426200					31990435	18314138	2287636	11121627	92.27%
NA	SRR29300907	PRJNA1120369	untrimmed	PE	572680253	572680253					3755052	1010949	351741	567914252	22.85%
NA	SRR29300907	PRJNA1120369	SRR29300907_trimmomatic_adapter	PE	572680253	572680253					3754979	1011006	351263	567914268	22.85%
NA	SRR29300907	PRJNA1120369	SRR29300907_trimmomatic_P5	PE	572674029	572674029					3755045	1008944	351284	567910040	22.85%
NA	SRR29300907	PRJNA1120369	SRR29300907_trimmomatic_P10	PE	572668748	572668748					3754819	1008935	351327	567904994	22.85%
NA	SRR29300907	PRJNA1120369	SRR29300907_trimmomatic_P20	PE	569342615	569342615					2691960	1936751	6418954	564713904	28.30%
NA	SRR29300907	PRJNA1120369	SRR29300907_trimmomatic_P35	PE	462622021	462622021					5353050	12079580	15285018	445189391	51.40%
NA	SRR29300907	PRJNA1120369	adapter_only	PE	572674029	572674029					3755045	1008944	351284	567910040	22.85%
NA	SRR29300907	PRJNA1120369	P5	PE	572668748	572668748					3754819	1008935	351327	567904994	22.85%
NA	SRR29300907	PRJNA1120369	P10	PE	569342615	569342615					2691960	1936751	6418954	564713904	28.30%
NA	SRR29300907	PRJNA1120369	P20	PE	462622021	462622021					5353050	12079580	15285018	445189391	51.40%
NA	SRR29300909	PRJNA1120369	untrimmed	PE	598340043	598340043					3987497	1008899	366921	593343647	23.64%
NA	SRR29300909	PRJNA1120369	adapter_only	PE	597855568	597855568					3991461	1045786	368246	592818321	23.67%
NA	SRR29300909	PRJNA1120369	SRR29300909_trimmomatic_adapter	PE	597855568	597855568					3991302	1045915	367907	592818351	23.67%
NA	SRR29300909	PRJNA1120369	SRR29300909_trimmomatic_P5	PE	597849021	597849021					3991380	1043703	367928	592813938	23.67%
NA	SRR29300909	PRJNA1120369	SRR29300909_trimmomatic_P10	PE	597843397	597843397					3991112	1043680	367943	592808605	23.67%
NA	SRR29300909	PRJNA1120369	SRR29300909_trimmomatic_P20	PE	593905122	593905122					2954143	2302288	7437731	588648691	29.59%
NA	SRR29300909	PRJNA1120369	SRR29300909_trimmomatic_P35	PE	471047795	471047795					5989303	13807793	16172514	451250699	53.46%
NA	SRR29300909	PRJNA1120369	P5	PE	597843397	597843397					3991112	1043680	367943	592808605	23.67%
NA	SRR29300909	PRJNA1120369	P10	PE	593905122	593905122					2954143	2302288	7437731	588648691	29.59%
NA	SRR29300909	PRJNA1120369	P20	PE	471047795	471047795					5989303	13807793	16172514	451250699	53.46%
NA	SRR29300910	PRJNA1120369	untrimmed	PE	590551849	590551849					4090264	1070099	360204	585391486	22.52%
NA	SRR29300910	PRJNA1120369	SRR29300910_trimmomatic_adapter	PE	590551849	590551849					4090192	1070072	360499	585391585	22.52%
NA	SRR29300910	PRJNA1120369	SRR29300910_trimmomatic_P5	PE	590544651	590544651					4090246	1067081	360512	585387324	22.52%
NA	SRR29300910	PRJNA1120369	SRR29300910_trimmomatic_P10	PE	590539077	590539077					4090015	1067045	360558	585382017	22.52%
NA	SRR29300910	PRJNA1120369	SRR29300910_trimmomatic_P20	PE	586779749	586779749					3067830	2237660	7269738	581474259	28.63%
NA	SRR29300910	PRJNA1120369	SRR29300910_trimmomatic_P35	PE	468583976	468583976					5973882	13624872	15247650	448985222	52.71%
NA	SRR29300910	PRJNA1120369	adapter_only	PE	590544651	590544651					4090246	1067081	360512	585387324	22.52%
NA	SRR29300910	PRJNA1120369	P5	PE	590539077	590539077					4090015	1067045	360558	585382017	22.52%
NA	SRR29300910	PRJNA1120369	P10	PE	586779749	586779749					3067830	2237660	7269738	581474259	28.63%
NA	SRR29300910	PRJNA1120369	P20	PE	468583976	468583976					5973882	13624872	15247650	448985222	52.71%
NA	SRR29300913	PRJNA1120369	untrimmed	PE	620362544	620362544					6355279	1624385	636362	612382880	27.86%
NA	SRR29300913	PRJNA1120369	SRR29300913_trimmomatic_adapter	PE	619849489	619849489					6358446	1656842	637476	611834201	27.89%
NA	SRR29300913	PRJNA1120369	SRR29300913_trimmomatic_P5	PE	619843466	619843466					6358545	1654819	637506	611830102	27.89%
NA	SRR29300913	PRJNA1120369	SRR29300913_trimmomatic_P10	PE	619837901	619837901					6358111	1654736	637504	611825054	27.89%
NA	SRR29300913	PRJNA1120369	SRR29300913_trimmomatic_P20	PE	615906947	615906947					4448629	2847540	8577501	608610778	33.42%
NA	SRR29300913	PRJNA1120369	SRR29300913_trimmomatic_P35	PE	492671952	492671952					7370961	14776075	19669974	470524916	56.43%
NA	SRR29300913	PRJNA1120369	adapter_only	PE	619843466	619843466					6358545	1654819	637506	611830102	27.89%
NA	SRR29300913	PRJNA1120369	P5	PE	619837901	619837901					6358111	1654736	637504	611825054	27.89%
NA	SRR29300913	PRJNA1120369	P10	PE	615906947	615906947					4448629	2847540	8577501	608610778	33.42%
NA	SRR29300913	PRJNA1120369	P20	PE	492671952	492671952					7370961	14776075	19669974	470524916	56.43%
NA	SRR29300915	PRJNA1120369	untrimmed	PE	559326732	559326732					3073302	841014	280928	555412416	20.98%
NA	SRR29300915	PRJNA1120369	adapter_only	PE	559319649	559319649					3073370	838351	281402	555407928	20.98%
NA	SRR29300915	PRJNA1120369	P5	PE	559314476	559314476					3073166	838312	281437	555402998	20.98%
NA	SRR29300915	PRJNA1120369	P10	PE	555934488	555934488					2272128	1800654	5686840	551861706	26.37%
NA	SRR29300915	PRJNA1120369	P20	PE	453015904	453015904					4795588	11338001	13728326	436882315	49.31%
NA	SRR29300916	PRJNA1120369	untrimmed	PE	514386239	514386239					2963858	790774	293234	510631607	21.85%
NA	SRR29300916	PRJNA1120369	SRR29300916_trimmomatic_adapter	PE	514386239	514386239					2963858	790774	293234	510631607	21.85%
NA	SRR29300916	PRJNA1120369	SRR29300916_trimmomatic_P5	PE	514380008	514380008					2963897	788349	293253	510627762	21.85%
NA	SRR29300916	PRJNA1120369	SRR29300916_trimmomatic_P10	PE	514375196	514375196					2963721	788339	293293	510623136	21.85%
NA	SRR29300916	PRJNA1120369	SRR29300916_trimmomatic_P20	PE	510965002	510965002					2209034	1734507	5777576	507021461	27.63%
NA	SRR29300916	PRJNA1120369	SRR29300916_trimmomatic_P35	PE	400501661	400501661					4771754	11481641	12602854	384248266	51.55%
NA	SRR29300916	PRJNA1120369	adapter_only	PE	514380008	514380008					2963897	788349	293253	510627762	21.85%
NA	SRR29300916	PRJNA1120369	P5	PE	514375196	514375196					2963721	788339	293293	510623136	21.85%
NA	SRR29300916	PRJNA1120369	P10	PE	510965002	510965002					2209034	1734507	5777576	507021461	27.63%
NA	SRR29300916	PRJNA1120369	P20	PE	400501661	400501661					4771754	11481641	12602854	384248266	51.55%
NA	SRR29300917	PRJNA1120369	untrimmed	PE	597319028	597319028					3477254	928978	328257	592912796	21.61%
NA	SRR29300917	PRJNA1120369	SRR29300917_trimmomatic_adapter	PE	597319028	597319028					3477268	928915	328264	592912845	21.61%
NA	SRR29300917	PRJNA1120369	SRR29300917_trimmomatic_P5	PE	597312125	597312125					3477293	926363	328295	592908469	21.61%
NA	SRR29300917	PRJNA1120369	SRR29300917_trimmomatic_P10	PE	597306591	597306591					3477074	926337	328325	592903180	21.62%
NA	SRR29300917	PRJNA1120369	SRR29300917_trimmomatic_P20	PE	593329568	593329568					2587629	2127050	6774957	588614889	27.54%
NA	SRR29300917	PRJNA1120369	SRR29300917_trimmomatic_P35	PE	473805821	473805821					5523086	13209539	14816350	455073196	51.41%
NA	SRR29300917	PRJNA1120369	adapter_only	PE	597312125	597312125					3477293	926363	328295	592908469	21.61%
NA	SRR29300917	PRJNA1120369	P5	PE	597306591	597306591					3477074	926337	328325	592903180	21.62%
NA	SRR29300917	PRJNA1120369	P10	PE	593329568	593329568					2587629	2127050	6774957	588614889	27.54%
NA	SRR29300917	PRJNA1120369	P20	PE	473805821	473805821					5523086	13209539	14816350	455073196	51.41%
NA	SRR29300918	PRJNA1120369	untrimmed	PE	546216098	546216098					3540219	951637	337549	541724242	22.21%
NA	SRR29300918	PRJNA1120369	SRR29300918_trimmomatic_adapter	PE	546216098	546216098					3540219	951637	337549	541724242	22.21%
NA	SRR29300918	PRJNA1120369	SRR29300918_trimmomatic_P5	PE	546208896	546208896					3540282	948771	337575	541719843	22.21%
NA	SRR29300918	PRJNA1120369	SRR29300918_trimmomatic_P10	PE	546203883	546203883					3540090	948745	337582	541715048	22.21%
NA	SRR29300918	PRJNA1120369	SRR29300918_trimmomatic_P20	PE	542932108	542932108					2623405	1894205	5819610	538414498	27.62%
NA	SRR29300918	PRJNA1120369	SRR29300918_trimmomatic_P35	PE	429388757	429388757					5236971	12168645	13448679	411983141	51.21%
NA	SRR29300918	PRJNA1120369	adapter_only	PE	546208896	546208896					3540282	948771	337575	541719843	22.21%
NA	SRR29300918	PRJNA1120369	P5	PE	546203883	546203883					3540090	948745	337582	541715048	22.21%
NA	SRR29300918	PRJNA1120369	P10	PE	542932108	542932108					2623405	1894205	5819610	538414498	27.62%
NA	SRR29300918	PRJNA1120369	P20	PE	429388757	429388757					5236971	12168645	13448679	411983141	51.21%
NA	SRR29300919	PRJNA1120369	untrimmed	PE	582725821	582725821					3813120	1011094	342857	577901607	22.99%
NA	SRR29300919	PRJNA1120369	SRR29300919_trimmomatic_adapter	PE	582725821	582725821					3813289	1011025	342293	577901507	22.99%
NA	SRR29300919	PRJNA1120369	SRR29300919_trimmomatic_P5	PE	582719115	582719115					3813346	1008348	342328	577897421	22.99%
NA	SRR29300919	PRJNA1120369	SRR29300919_trimmomatic_P10	PE	582714396	582714396					3813096	1008313	342370	577892987	22.99%
NA	SRR29300919	PRJNA1120369	SRR29300919_trimmomatic_P20	PE	579172638	579172638					2819175	2102925	7106697	574250538	28.92%
NA	SRR29300919	PRJNA1120369	SRR29300919_trimmomatic_P35	PE	467758180	467758180					5653438	12821702	15707656	449283040	52.83%
NA	SRR29300919	PRJNA1120369	adapter_only	PE	582719115	582719115					3813346	1008348	342328	577897421	22.99%
NA	SRR29300919	PRJNA1120369	P5	PE	582714396	582714396					3813096	1008313	342370	577892987	22.99%
NA	SRR29300919	PRJNA1120369	P10	PE	579172638	579172638					2819175	2102925	7106697	574250538	28.92%
NA	SRR29300919	PRJNA1120369	P20	PE	467758180	467758180					5653438	12821702	15707656	449283040	52.83%
NA	SRR29300920	PRJNA1120369	untrimmed	PE	579376532	579376532					5415835	1394935	488635	572565762	26.99%
NA	SRR29300920	PRJNA1120369	adapter_only	PE	578936202	578936202					5419846	1429581	489981	572086775	27.02%
NA	SRR29300920	PRJNA1120369	SRR29300920_trimmomatic_adapter	PE	578936202	578936202					5419846	1429581	489981	572086775	27.02%
NA	SRR29300920	PRJNA1120369	SRR29300920_trimmomatic_P5	PE	578930518	578930518					5419945	1427538	490024	572083035	27.02%
NA	SRR29300920	PRJNA1120369	SRR29300920_trimmomatic_P10	PE	578925050	578925050					5419533	1427495	490057	572078022	27.02%
NA	SRR29300920	PRJNA1120369	SRR29300920_trimmomatic_P20	PE	575355809	575355809					3856042	2546840	8225383	568952927	32.87%
NA	SRR29300920	PRJNA1120369	SRR29300920_trimmomatic_P35	PE	457537765	457537765					6788135	14177638	17770934	436571992	56.52%
NA	SRR29300920	PRJNA1120369	P5	PE	578925050	578925050					5419533	1427495	490057	572078022	27.02%
NA	SRR29300920	PRJNA1120369	P10	PE	575355809	575355809					3856042	2546840	8225383	568952927	32.87%
NA	SRR29300920	PRJNA1120369	P20	PE	457537765	457537765					6788135	14177638	17770934	436571992	56.52%
NA	SRR29300921	PRJNA1120369	untrimmed	PE	615456705	615456705					4688613	1171104	445940	609596988	22.85%
NA	SRR29300921	PRJNA1120369	adapter_only	PE	614872103	614872103					4693165	1213749	447434	608965189	22.88%
NA	SRR29300921	PRJNA1120369	P5	PE	614859083	614859083					4692930	1211025	447476	608955128	22.88%
NA	SRR29300921	PRJNA1120369	P10	PE	611110748	611110748					3359065	2306945	7107884	605444738	28.44%
