SRR_ID	project_id	category	stage	mode	duration_sec	cores_used	total_reads_M	read_length	fastq_mb	mb_per_sec	mb_per_sec_per_core	reads_per_sec
SRR26067916	PRJNA1014106	align	align_untrimmed	untrimmed	4199.00	36	483.38	150.00	161344.71	38.42	1.07	115117.33
SRR26067916	PRJNA1014106	count	count_untrimmed	untrimmed	20.00	36	483.38	150.00	161344.71	8067.24	224.09	24168883.85
SRR26067916	PRJNA1014106	mode_total	mode_untrimmed_total	untrimmed	4219.00	36	483.38	150.00	161344.71	38.24	1.06	114571.62
SRR26067916	PRJNA1014106	trim	trim_adapter_only	adapter_only	1275.00	36	483.38	150.00	161344.71	126.54	3.52	379119.75
SRR26067916	PRJNA1014106	align	align_adapter_only	adapter_only	4197.00	36	483.38	150.00	161344.71	38.44	1.07	115172.19
SRR26067916	PRJNA1014106	count	count_adapter_only	adapter_only	20.00	36	483.38	150.00	161344.71	8067.24	224.09	24168883.85
SRR26067916	PRJNA1014106	mode_total	mode_adapter_only_total	adapter_only	5492.00	36	483.38	150.00	161344.71	29.38	0.82	88014.87
SRR26067916	PRJNA1014106	trim	trim_P5	P5	1434.00	36	483.38	150.00	161344.71	112.51	3.13	337083.46
SRR26067916	PRJNA1014106	align	align_P5	P5	4200.00	36	483.38	150.00	161344.71	38.42	1.07	115089.92
SRR26067916	PRJNA1014106	count	count_P5	P5	20.00	36	483.38	150.00	161344.71	8067.24	224.09	24168883.85
SRR26067916	PRJNA1014106	mode_total	mode_P5_total	P5	5654.00	36	483.38	150.00	161344.71	28.54	0.79	85493.05
SRR26067916	PRJNA1014106	trim	trim_P10	P10	1457.00	36	483.38	150.00	161344.71	110.74	3.08	331762.30
SRR26067916	PRJNA1014106	align	align_P10	P10	4183.00	36	483.38	150.00	161344.71	38.57	1.07	115557.66
SRR26067916	PRJNA1014106	count	count_P10	P10	20.00	36	483.38	150.00	161344.71	8067.24	224.09	24168883.85
