SRR_ID	project_id	t_star	t_star_gene	t_star_path	U_class_gene	U_class_path	U_class	U_delta_path	U_read_loss	U_gene_loss	U_assigned_frac_loss	A_class_gene	A_class_path	A_class	A_delta_path	A_read_loss	A_gene_loss	A_assigned_frac_loss	P5_class_gene	P5_class_path	P5_class	P5_delta_path	P5_read_loss	P5_gene_loss	P5_assigned_frac_loss	P10_class_gene	P10_class_path	P10_class	P10_delta_path	P10_read_loss	P10_gene_loss	P10_assigned_frac_loss	P20_class_gene	P20_class_path	P20_class	P20_delta_path	P20_read_loss	P20_gene_loss	P20_assigned_frac_loss	P35_class_gene	P35_class_path	P35_class	P35_delta_path	P35_read_loss	P35_gene_loss	P35_assigned_frac_loss
SRR26033653	PRJNA1014965	U	U	P20	neutral	neutral	neutral	0.0				neutral	neutral	neutral	-0.00036000000000002697				neutral	harmful	neutral	-6.60000000000105e-05				neutral	neutral	neutral	0.0				neutral	helpful	neutral	0.0007529999999999482				harmful	harmful	harmful	-0.339641			
SRR26033654	PRJNA1014965	U	U	P5	neutral	neutral	neutral	0.0				neutral	helpful	neutral	-0.00023099999999998122				neutral	helpful	neutral	-0.00036199999999997345				neutral	helpful	neutral	-0.00014100000000000223				neutral	neutral	neutral	-0.003764999999999963				harmful	harmful	harmful	-0.303843			
SRR26033655	PRJNA1014965	U	U	P5	neutral	neutral	neutral	0.0				neutral	neutral	neutral	0.00019900000000000473				neutral	helpful	neutral	0.00013299999999999423				neutral	harmful	neutral	-0.000130000000000019				neutral	harmful	neutral	-0.0016980000000000328				harmful	harmful	harmful	-0.342865			
SRR26033656	PRJNA1014965	U	U	P20	neutral	neutral	neutral	0.0				neutral	helpful	neutral	9.299999999995423e-05				neutral	helpful	neutral	0.00012799999999996148				neutral	helpful	neutral	-0.00015700000000001824				neutral	helpful	neutral	0.0003189999999999582				harmful	harmful	harmful	-0.318232			
SRR26033657	PRJNA1014965	U	U	P5	neutral	neutral	neutral	0.0				neutral	neutral	neutral	-0.0002670000000000172				neutral	helpful	neutral	-0.00020000000000003348				neutral	neutral	neutral	-0.0003690000000000082				neutral	helpful	neutral	-0.0010760000000000214				harmful	harmful	harmful	-0.347712			
SRR26033658	PRJNA1014965	U	U	A	neutral	neutral	neutral	0.0				neutral	helpful	neutral	-6.300000000003525e-05				neutral	helpful	neutral	0.0				neutral	neutral	neutral	0.00012499999999998623				neutral	helpful	neutral	-0.0017630000000000146				harmful	harmful	harmful	-0.302623			
SRR26033659	PRJNA1014965	U	U	P5	neutral	neutral	neutral	0.0				neutral	helpful	neutral	0.0008559999999999679				neutral	helpful	neutral	0.0009870000000000156				neutral	helpful	neutral	0.0010479999999999934				neutral	helpful	neutral	0.0009819999999999829				harmful	harmful	harmful	-0.15737099999999998			
SRR26033660	PRJNA1014965	U	U	A	neutral	neutral	neutral	0.0				neutral	helpful	neutral	0.0004569999999999852				neutral	neutral	neutral	0.0005220000000000224				neutral	helpful	neutral	0.0005220000000000224				neutral	helpful	neutral	0.0024120000000000252				harmful	harmful	harmful	-0.142003			
SRR26033661	PRJNA1014965	U	U	A	neutral	neutral	neutral	0.0				neutral	helpful	neutral	0.0007669999999999622				neutral	harmful	neutral	0.0005819999999999714				neutral	harmful	neutral	0.0005819999999999714				neutral	harmful	neutral	0.006475999999999982				harmful	harmful	harmful	-0.09172600000000003			
SRR26033662	PRJNA1014965	U	U	P20	neutral	neutral	neutral	0.0				neutral	helpful	neutral	-0.00041599999999997195				neutral	helpful	neutral	-0.0002889999999999837				neutral	helpful	neutral	-0.0002889999999999837				neutral	helpful	neutral	-0.0002889999999999837				harmful	harmful	harmful	-0.11588899999999996			
SRR26033663	PRJNA1014965	U	U	A	neutral	neutral	neutral	0.0				neutral	helpful	neutral	0.0003190000000000137				neutral	helpful	neutral	0.0004170000000000007				neutral	neutral	neutral	0.0004170000000000007				neutral	harmful	neutral	0.0023550000000000515				harmful	harmful	harmful	-0.12002999999999997			
SRR26033664	PRJNA1014965	U	U	P20	neutral	neutral	neutral	0.0				neutral	helpful	neutral	0.00012399999999995748				neutral	helpful	neutral	0.00024799999999997047				neutral	helpful	neutral	0.00018599999999996397				neutral	helpful	neutral	0.00018599999999996397				neutral	helpful	neutral	0.0009449999999999736			
SRR26033665	PRJNA1014965	U	U	P5	neutral	neutral	neutral	0.0				neutral	neutral	neutral	0.00016199999999999548				neutral	helpful	neutral	0.00013299999999999423				neutral	neutral	neutral	0.00013299999999999423				neutral	neutral	neutral	7.00000000000145e-05				harmful	harmful	harmful	-0.10597400000000001			
SRR26033666	PRJNA1014965	U	U	P20	neutral	neutral	neutral	0.0				neutral	helpful	neutral	0.0003549999999999942				neutral	helpful	neutral	0.00016299999999996873				neutral	helpful	neutral	0.00016299999999996873				neutral	helpful	neutral	0.00016299999999996873				harmful	harmful	harmful	-0.11752699999999999			
SRR26033667	PRJNA1014965	U	U	P5	neutral	neutral	neutral	0.0				neutral	helpful	neutral	0.0010029999999999761				neutral	helpful	neutral	0.0006209999999999827				neutral	helpful	neutral	0.0006209999999999827				neutral	helpful	neutral	0.0023119999999999807				harmful	harmful	harmful	-0.18528900000000004			
SRR26033668	PRJNA1014965	U	U	U	neutral	neutral	neutral	0.0				neutral	harmful	neutral	0.0002769999999999717				neutral	neutral	neutral	0.0002689999999999637				neutral	harmful	neutral	0.00020799999999998597				neutral	harmful	neutral	0.009122999999999992				harmful	harmful	harmful	-0.08133400000000002			
