project_id	SRR_ID	mode	layout	input_reads	surviving	surviving_pct	dropped	dropped_pct
PRJNA1014106	SRR26067911	P35	PE	55524588	51799406	93.29	3725182	6.71
PRJNA1014106	SRR26067911	adapter_only	PE	55524588	55497204	99.95	27384	0.05
PRJNA1014106	SRR26067911	P5	PE	55524588	55496815	99.95	27773	0.05
PRJNA1014106	SRR26067911	P10	PE	55524588	55496807	99.95	27781	0.05
PRJNA1014106	SRR26067911	P20	PE	55524588	55478410	99.92	46178	0.08
PRJNA1014106	SRR26067912	P35	PE	89298520	84708878	94.86	4589642	5.14
PRJNA1014106	SRR26067912	adapter_only	PE	89298520	89272309	99.97	26211	0.03
PRJNA1014106	SRR26067912	P10	PE	89298520	89271636	99.97	26884	0.03
PRJNA1014106	SRR26067912	P20	PE	89298520	89252202	99.95	46318	0.05
PRJNA1014106	SRR26067912	P5	PE	89298520	89271649	99.97	26871	0.03
PRJNA1014106	SRR26067913	adapter_only	PE	358613504	358612120	100.00	1384	0.00
PRJNA1014106	SRR26067914	adapter_only	PE	379362692	379361143	100.00	1549	0.00
PRJNA1014106	SRR26067915	adapter_only	PE	354323387	354321942	100.00	1445	0.00
PRJNA1014106	SRR26067916	adapter_only	SE	483377677	483037663	99.93	340014	0.07
PRJNA1014106	SRR26067916	P5	SE	483377677	483035237	99.93	342440	0.07
PRJNA1014106	SRR26067916	P10	SE	483377677	483035237	99.93	342440	0.07
PRJNA1014106	SRR26067916	P20	SE	483377677	483035237	99.93	342440	0.07
PRJNA1014106	SRR26067916	P35	SE	483377677	0	0.00	483377677	100.00
PRJNA1014106	SRR26067919	P35	PE	100789110	95599876	94.85	5189234	5.15
PRJNA1014106	SRR26067919	P5	PE	100789110	100749612	99.96	39498	0.04
PRJNA1014106	SRR26067919	adapter_only	PE	100789110	100750476	99.96	38634	0.04
PRJNA1014106	SRR26067919	P10	PE	100789110	100749598	99.96	39512	0.04
PRJNA1014106	SRR26067919	P20	PE	100789110	100727279	99.94	61831	0.06
PRJNA1014106	SRR26067920	adapter_only	PE	89382298	89323963	99.93	58335	0.07
PRJNA1014106	SRR26067920	P20	PE	89382298	89290991	99.90	91307	0.10
PRJNA1014106	SRR26067920	P35	PE	89382298	84709766	94.77	4672532	5.23
PRJNA1014106	SRR26067920	P5	PE	89382298	89323332	99.93	58966	0.07
PRJNA1014106	SRR26067920	P10	PE	89382298	89323315	99.93	58983	0.07
PRJNA1014965	SRR26033653	P35	PE	45734432	7	0.00	45734425	100.00
PRJNA1014965	SRR26033653	P20	PE	45734432	45720966	99.97	13466	0.03
PRJNA1014965	SRR26033653	adapter_only	PE	45734432	45725623	99.98	8809	0.02
PRJNA1014965	SRR26033653	P10	PE	45734432	45725463	99.98	8969	0.02
PRJNA1014965	SRR26033653	P5	PE	45734432	45725463	99.98	8969	0.02
PRJNA1014965	SRR26033654	adapter_only	PE	38423742	38406389	99.95	17353	0.05
PRJNA1014965	SRR26033654	P10	PE	38423742	38406247	99.95	17495	0.05
PRJNA1014965	SRR26033654	P5	PE	38423742	38406248	99.95	17494	0.05
PRJNA1014965	SRR26033654	P35	PE	38423742	1	0.00	38423741	100.00
PRJNA1014965	SRR26033654	P20	PE	38423742	38402915	99.95	20827	0.05
PRJNA1014965	SRR26033655	P35	PE	36096530	1	0.00	36096529	100.00
PRJNA1014965	SRR26033655	P20	PE	36096530	36081016	99.96	15514	0.04
PRJNA1014965	SRR26033655	P10	PE	36096530	36084521	99.97	12009	0.03
PRJNA1014965	SRR26033655	adapter_only	PE	36096530	36084642	99.97	11888	0.03
